"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Edit profile negative","","","4","0","10","0","0"
"Edit profile social links negative","","","0","0","30","0","0"
"Follow unfollow collection","","","0","0","7","0","0"
"Get collections","","","1","0","2","0","0"
"Get nft details","","","0","4","0","0","0"
"Follow unfollow user","","","0","0","5","0","0"
"Get active offers NFT","","","0","1","2","0","0"
"Search NFT in collection","","","0","0","6","0","0"
"Pin unpin NFT","","","0","0","6","0","1"
"Like unlike NFT","","","0","0","4","0","1"
"Edit profile social links","","","0","0","10","0","0"
"Edit profile","","","2","0","4","0","0"
"Search NFT negative","","","1","0","8","0","0"
"Get my collections","","","0","0","4","0","0"
"Get update collection settings","","","0","0","17","0","0"
"Search NFT","","","0","0","5","0","2"
"Get collection royalties","","","0","0","3","0","0"
"Get collection owners count","","","2","0","0","0","0"
"Get offers details","","","0","1","0","3","0"
"Get user pinned NFT","","","0","0","1","0","0"
